RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15600000,Sanchez,601,France,Male,44,1,1661.43,2,1,1,44571.32,0
2,15600001,Jones,642,Spain,Male,60,8,74492.91,2,1,1,107328.75,0
3,15600002,Miller,535,Germany,Male,76,9,71799.95,1,1,0,31618.73,1
4,15600003,Perez,383,Germany,Female,51,7,26894.62,1,1,0,107378.28,1
5,15600004,Williams,669,France,Male,42,6,0.0,1,1,0,150903.18,0
6,15600005,Martinez,850,France,Female,62,10,0.0,1,1,1,162567.65,0
7,15600006,Brown,616,France,Male,48,9,172999.14,1,1,1,139938.13,0
8,15600007,Ramirez,742,Spain,Female,43,1,0.0,2,0,1,40497.23,0
9,15600008,Gonzalez,794,Germany,Female,38,1,127052.95,2,1,1,89945.0,0
10,15600009,Rodriguez,467,Germany,Female,59,6,0.0,1,0,1,163427.52,0
11,15600010,Lopez,606,France,Female,68,6,87324.25,1,1,0,147093.8,1
12,15600011,Lee,527,Spain,Female,40,5,143336.02,2,1,0,160581.49,0
13,15600012,Smith,572,Spain,Female,49,9,49380.16,1,1,1,19020.0,0
14,15600013,White,813,France,Male,50,4,0.0,2,0,0,145536.41,0
15,15600014,Jones,671,France,Male,44,5,208770.15,1,1,1,88618.31,0
16,15600015,Thomas,725,France,Male,73,8,92528.59,2,0,0,71387.87,0
17,15600016,Williams,645,France,Male,38,3,108580.79,2,0,0,32351.6,0
18,15600017,Clark,533,Germany,Male,58,9,0.0,1,0,0,47624.69,1
19,15600018,Garcia,715,France,Male,60,0,0.0,2,1,0,120039.37,0
20,15600019,Lopez,770,France,Male,44,8,159240.29,2,1,0,140432.61,0
21,15600020,Gonzalez,680,Germany,Male,42,7,0.0,1,0,0,108932.97,0
22,15600021,Thompson,696,France,Male,46,10,67682.86,1,1,0,193026.6,0
23,15600022,Thomas,531,France,Female,35,1,0.0,2,1,1,37404.7,0
24,15600023,Martin,717,France,Male,77,3,84775.35,4,1,1,114908.98,1
25,15600024,Perez,779,France,Female,46,2,130688.25,2,1,0,148571.17,0
26,15600025,Martin,688,Spain,Male,48,2,147213.66,1,1,1,48080.58,0
27,15600026,Davis,477,France,Female,81,5,0.0,2,0,0,8678.28,1
28,15600027,Lee,807,Germany,Female,36,6,40908.19,1,1,0,47730.45,1
29,15600028,Lewis,559,Germany,Female,51,7,112974.92,1,1,0,1391.25,0
30,15600029,Perez,687,France,Female,62,6,94764.65,1,1,1,91651.85,0
31,15600030,Jackson,741,Germany,Male,77,8,261965.73,1,1,0,8768.08,1
32,15600031,Brown,753,France,Female,37,1,0.0,1,1,0,150300.62,1
33,15600032,Garcia,477,France,Female,80,9,37856.87,2,1,0,180105.88,1
34,15600033,Moore,661,Spain,Female,49,3,218941.3,2,0,1,64168.76,0
35,15600034,Garcia,654,Spain,Female,49,1,0.0,2,0,1,117522.27,0
36,15600035,Miller,788,Spain,Male,40,10,0.0,2,0,1,165175.47,0
37,15600036,White,694,France,Female,53,2,0.0,1,1,1,52508.36,0
38,15600037,Brown,789,France,Male,80,9,36133.54,1,0,0,141412.78,1
39,15600038,Gonzalez,701,Germany,Female,53,0,42679.94,2,1,1,178979.58,1
40,15600039,Gonzalez,642,France,Male,43,7,0.0,1,1,0,137328.5,0
41,15600040,White,668,France,Female,45,4,0.0,2,1,1,136042.76,0
42,15600041,Sanchez,796,France,Male,45,4,115499.52,2,1,0,21396.98,0
43,15600042,Perez,525,France,Male,74,7,77092.74,2,1,1,31720.2,0
44,15600043,Martin,736,Spain,Female,79,10,0.0,1,0,1,117229.92,1
